id   |nome                                            |precoCusto|precoVenda|ncm     |referencia    |dataCadastro
10016|SABONETE POM POM 90G GLICERIN                   |1.15      |2.3000    |01011090|              |2015-10-12 10:19:37
10017|SABONETE POM POM 90G HIDRATAN                   |0.00      |2.3000    |01011090|              |2015-10-12 10:19:37
10018|SABONETE LUX SUAVE 90G OLEO A                   |0.70      |1.4000    |34011190|              |2015-10-12 10:19:37
10019|LINHA CLEA 1000M 8001                           |0.93      |9.3000    |01011090|              |2015-10-12 10:19:37
10020|LINHA CLEA 1000M 3581                           |2.75      |5.5000    |01011090|              |2015-10-12 10:19:37
10021|LINHA CLEA 1000M 3182                           |0.55      |5.5000    |01011090|              |2015-10-12 10:19:37
10022|LINHA CLEA 1000M 3077                           |2.79      |9.3000    |01011090|              |2015-10-12 10:19:37
10023|LINHA CLEA 1000M 8990                           |1.65      |5.5000    |01011090|              |2015-10-12 10:19:37
10024|ARROZ CRISTAL 5KG TP1                           |7.74      |25.8000   |10063021|              |2015-10-12 10:19:37
10025|ARROZ TIO JORGE 5KG TP1                         |13.55     |27.1000   |10063021|              |2015-10-12 10:19:37
10026|FARINHA TRIGO EMEGE 1KG                         |1.20      |3.9900    |11010010|              |2015-10-12 10:19:37
10027|HIDRAT MONANGE 200ML VIDA ATI                   |1.68      |5.6000    |01011090|              |2015-10-12 10:19:37
10028|HIDRAT MONANGE 200ML DESEJ.AM                   |0.00      |5.2000    |33072090|              |2015-10-12 10:19:37
10029|HIDRAT PAIXAO 200ML ONLY YOU                    |1.65      |5.5000    |33072090|              |2015-10-12 10:19:37
10030|HIDRAT MONANGE 200ML TOQ.CARI                   |1.53      |5.1000    |33072090|              |2015-10-12 10:19:37
10031|LEITE COLONIA 100ML ORIGINAL                    |0.00      |2.6000    |330300  |              |2015-10-12 10:19:37
10032|ACETONA CRUZEIRO 100ML                          |0.60      |1.5000    |01011090|              |2015-10-12 10:19:37
10033|COTONETES JOHNS.JOHNSON 75UN                    |0.89      |2.9500    |56012190|              |2015-10-12 10:19:37
10034|NUGGET LIQ.60ML PRETO                           |4.43      |8.8500    |01011090|              |2015-10-12 10:19:37
10035|NUGGET LIQ.60ML MARROM                          |1.66      |8.3000    |01011090|              |2015-10-12 10:19:37
10036|EXTRATO TOMATE ELEFANT.860G                     |1.70      |4.2500    |01011090|              |2015-10-12 10:19:37
10037|EXTRATO TOMATE ELEFANT.350G                     |0.84      |2.1000    |210320  |              |2015-10-12 10:19:37
10038|EXTRATO TOMATE ELEFANT.140G                     |0.10      |0.9900    |01011090|              |2015-10-12 10:19:37
10039|SALSICHA VIENA ANGLO 180G                       |1.20      |2.4000    |01011090|              |2015-10-12 10:19:37
10040|MAIONESE ARISCO 250G TP                         |0.31      |1.5400    |210390  |              |2015-10-12 10:19:37
10041|VINAGRE CASTELO 750ML TINTO                     |0.13      |1.3000    |01011090|              |2015-10-12 10:19:37
10042|FERMENTO PO ROYAL 100G                          |0.56      |1.8700    |01011090|              |2015-10-12 10:19:37
10043|SAZON VERMELHO 60G                              |0.84      |4.2000    |21039021|              |2015-10-12 10:19:37
10044|SAZON VERDE ESCURO 60G                          |1.26      |4.2000    |21039021|              |2015-10-12 10:19:37
10045|SAZON AMARELO 60G                               |1.68      |4.2000    |21039021|              |2015-10-12 10:19:37
10046|MACARRAO EMEGE SEMOL.500G P.N                   |0.65      |2.1500    |01011090|              |2015-10-12 10:19:37
10047|MACARRAO EMEGE SEMOL.500G FUR                   |0.56      |1.8500    |01011090|              |2015-10-12 10:19:37
10048|MACARRAO EMEGE SEMOL.500G PAR                   |0.50      |2.5000    |01011090|              |2015-10-12 10:19:37
10049|MACARRAO EMEGE SEMOL.500G ESP                   |0.00      |2.7500    |01011090|              |2015-10-12 10:19:37
10050|CHOC GAROTO 400G SORTIDO                        |0.00      |8.4000    |180631  |              |2015-10-12 10:19:37
10051|BEBIDA CORTEZANO 900ML BIANCO                   |1.04      |10.3500   |01011090|              |2015-10-12 10:19:37
10052|ALCOOL PARATI 1L                                |0.78      |2.6000    |01011090|              |2015-10-12 10:19:37
10053|BEBIDA 51 PIRASSUNUNGA LIQ 1LT                  |5.15      |10.3000   |22084000|              |2015-10-12 10:19:37
10054|SUCO SABORELLE TANGERINA 240G                   |0.81      |2.7000    |21069010|              |2015-10-12 10:19:37
10055|SUCO SABORELLE LARANJA 240G                     |0.81      |2.7000    |21069010|              |2015-10-12 10:19:37
10056|SUCO SABORELLE UVA 240G                         |0.81      |2.7000    |21069010|              |2015-10-12 10:19:37
10057|SUCO SABORELLE MARACUJA 240G                    |0.81      |2.7000    |21069010|              |2015-10-12 10:19:37
10058|SUCO SABORELLE LIMAO 240G                       |0.81      |2.7000    |21069010|              |2015-10-12 10:19:37
10059|SUCO SABORELLE FRUTAS VERMELHAS 240G            |0.00      |2.7000    |21069010|              |2015-10-12 10:19:37
10060|VASILHA PLASTIG.COPO C/TAMPA                    |0.00      |1.3500    |01011090|              |2015-10-12 10:19:37
10061|AMIDO DE MILHO MAIZENA 500G                     |1.36      |6.8000    |11081200|              |2015-10-12 10:19:37
10062|ACHOC PO TODDY 800G                             |3.63      |12.1000   |18069000|              |2015-10-12 10:19:37
10063|ACHOC PO TODDY 400G                             |0.62      |6.2000    |01011090|              |2015-10-12 10:19:37
10064|ACHOC PO TODDY 200G                             |0.00      |3.5000    |82121020|              |2015-10-12 10:19:37
10065|ACUCAR REFINADO UNIAO 1KG                       |1.72      |4.3000    |17022000|              |2015-10-12 10:19:37
10066|LEITE COND.NESTLE 395G TRAD.                    |1.41      |4.7000    |190190  |              |2015-10-12 10:19:37
10067|CANJICA CONFIANCA 500G                          |0.16      |0.7900    |100590  |              |2015-10-12 10:19:37
10068|POLVILHO DOCE 1KG CAIPIRA                       |0.00      |3.2000    |01011090|              |2015-10-12 10:19:37
10069|FARINHA MAND.LISA 1KG AMAFIL                    |0.00      |2.1000    |01011090|              |2015-10-12 10:19:37
10070|PALITO GINA 100UN                               |0.18      |0.6000    |44211000|              |2015-10-12 10:19:37
10071|AMAC COMFORT 500ML CLASSIC                      |1.00      |5.0000    |380991  |              |2015-10-12 10:19:37
10072|CADERNO CREDEAL 12MAT HAPPY                     |3.15      |6.3000    |01011090|              |2015-10-12 10:19:37
10073|REFRIG COCA-COLA 600ML                          |1.68      |4.2000    |22021000|              |2015-10-12 10:19:37
10074|BEBIDA JURUB.CANG.NORTE 600ML                   |0.00      |9.4000    |22060090|              |2015-10-12 10:19:37
10075|BEBIDA CAN.29                                   |1.80      |4.5000    |22084000|              |2015-10-12 10:19:37
10076|BEBIDA CAMPARI MILANO 900ML                     |4.06      |40.6000   |22089000|              |2015-10-12 10:19:37
10077|FOSFORO BEIJA-FLOR 10UN                         |0.72      |3.6000    |36050000|              |2015-10-12 10:19:37
10078|VELA SAO TARCISIO N§5 8UN 18G                   |0.89      |4.4500    |34060000|              |2015-10-12 10:19:37
10079|VELA P/FILTRO CRISTALINA                        |2.10      |5.2500    |01011090|              |2015-10-12 10:19:37
10080|PULVERIZADOR GUARANY 500ML M.                   |1.18      |5.9000    |84248990|              |2015-10-12 10:19:37
10081|ESPONJA P/VASIL.LIMPONA                         |0.00      |0.4000    |01011090|              |2015-10-12 10:19:37
10082|ESPONJA BANHO PONJITA                           |0.26      |2.6000    |68053010|              |2015-10-12 10:19:37
10083|AGUA SANITARIA QBOA 1L                          |0.60      |3.0000    |28289011|              |2015-10-12 10:19:37
10084|ALVEJANTE CER.AZUL.AZULIM 1L                    |0.52      |5.2100    |340290  |              |2015-10-12 10:19:37
10085|VEJA LIMP.PESADA 500ML TRAD                     |1.26      |6.3000    |01011090|              |2015-10-12 10:19:37
10086|DESINF SCARLIM 2L LAVANDA                       |0.93      |3.0900    |01011090|              |2015-10-12 10:19:37
10087|DESINF PINHO BRIL 1L P01LUS                     |1.92      |6.4000    |38089419|              |2015-10-12 10:19:37
10088|DESINF PINHO BRIL 500ML PLUS                    |0.45      |2.2600    |380991  |              |2015-10-12 10:19:37
10089|CORANTE LIQ.XADREZ 50ML VERM.                   |1.05      |3.5000    |32061120|              |2015-10-12 10:19:37
10090|CORANTE LIQ.XADREZ 50ML AMAR.                   |0.70      |3.5000    |32041700|              |2015-10-12 10:19:37
10091|FILME KODAK GOLD 24P 100                        |2.32      |5.8000    |370254  |              |2015-10-12 10:19:37
10092|COND SEDA 350ML CACHOS COMP.                    |1.88      |9.4000    |01011090|              |2015-10-12 10:19:37
10093|COND SEDA 350ML GUARANA ACTIV                   |2.82      |9.4000    |01011090|              |2015-10-12 10:19:37
10094|COND SEDA 350ML CERAMIDAS                       |4.70      |9.4000    |01011090|              |2015-10-12 10:19:37
10095|COND SEDA 350ML LANOLINA                        |0.94      |9.4000    |01011090|              |2015-10-12 10:19:37
10096|COND SEDA 350ML PRETOS LUMINO                   |2.82      |9.4000    |01011090|              |2015-10-12 10:19:37
10097|SHAMPOO SEDA 350ML PRETOS LUM                   |0.55      |5.5000    |01011090|              |2015-10-12 10:19:37
10098|SHAMPOO SEDA 350ML LANOLINA                     |2.70      |5.4000    |01011090|              |2015-10-12 10:19:37
10099|SHAMPOO SEDA 350ML CERAMIDAS                    |2.20      |5.5000    |01011090|              |2015-10-12 10:19:37
10100|SHAMPOO SEDA 350ML GUARANA AC                   |1.08      |5.4000    |01011090|              |2015-10-12 10:19:37
10101|SHAMPOO SEDA 350ML HIDRALOE                     |0.00      |5.5000    |01011090|              |2015-10-12 10:19:37
10102|CREME P/PENT.SEDA 300ML CERAM                   |0.76      |7.6000    |33059000|              |2015-10-12 10:19:37
10103|CREME P/PENT.SEDA 300ML HIDRA                   |3.04      |7.6000    |33059000|              |2015-10-12 10:19:37
10104|COND SEDA 350ML SELECTIVE                       |4.70      |9.4000    |01011090|              |2015-10-12 10:19:37
10105|TENYS PE BARUEL PO 100GR                        |2.64      |6.6000    |330720  |              |2015-10-12 10:19:37
10106|TENYS PE BARUEL P100GR                          |1.98      |6.6000    |330720  |              |2015-10-12 10:19:37
10107|ESPONJA ACO BOMBRIL 60G 8UN                     |0.83      |1.6500    |73231000|              |2015-10-12 10:19:37
10108|RALADOR ALUM.4 FACES VIEL                       |1.65      |3.3000    |821599  |              |2015-10-12 10:19:37
10109|ALVEJANTE ALUM.ALUMIL 500ML P                   |0.54      |1.3500    |01011090|              |2015-10-12 10:19:37
10110|SABONETE PALM.SUAVE 90G MANT.                   |0.00      |1.5000    |34011190|              |2015-10-12 10:19:37
10111|SABONETE LUX SUAVE 90G EXTR.F                   |0.12      |1.1500    |01011090|              |2015-10-12 10:19:37
10112|SABONETE LUX SUAVE 90G EXTR.H                   |0.12      |1.1500    |34011190|              |2015-10-12 10:19:37
10113|DESODORIZ BOM AR 400ML LAVAND                   |0.91      |9.0500    |01011090|              |2015-10-12 10:19:37
10114|LINHA CLEA 1000M 2194                           |1.50      |7.5000    |01011090|              |2015-10-12 10:19:37
10115|LINHA CLEA 1000M 1236                           |2.25      |7.5000    |01011090|              |2015-10-12 10:19:37
10116|LINHA CLEA 1000M 3301                           |1.86      |9.3000    |01011090|              |2015-10-12 10:19:37
10117|ALICATE P/CUTIC.MUNDIAL CLASS                   |5.55      |18.5000   |82032010|              |2015-10-12 10:19:37
10118|GLICERINA FARMAX 100M BI-DEST                   |0.30      |1.5000    |152000  |              |2015-10-12 10:19:37
10119|SHAMPOO SEDA 350ML KERAFORCE                    |0.54      |5.4000    |01011090|              |2015-10-12 10:19:37
10120|DESINF SCARLIM 2L FLORAL                        |0.31      |3.0900    |01011090|              |2015-10-12 10:19:37
10121|CREME P/PENT.SEDA 300ML KERAF                   |2.29      |4.5700    |330499  |              |2015-10-12 10:19:37
10122|FARINHA LACTEA NESTLE 400G                      |2.41      |12.0500   |190110  |              |2015-10-12 10:19:37
10123|VASILHA JAGUAR BACIA 3,3L TRA                   |0.00      |2.8000    |01011090|              |2015-10-12 10:19:37
10124|CERA LIQ.KI-BRILHO 750ML INCO                   |1.25      |4.1500    |01011090|              |2015-10-12 10:19:37
10125|BEBIDA CAT.DA RACA 970ML                        |0.00      |5.6500    |22060090|              |2015-10-12 10:19:37
10126|LAMPADA OSRAM 40W CLASSIC                       |0.98      |2.4500    |01011090|              |2015-10-12 10:19:37
10127|ERVILHA CONS.SO FRUTA 200G                      |0.11      |1.0500    |01011090|              |2015-10-12 10:19:37
10128|VINAGRE CASTELO 750ML BCO                       |0.13      |1.2900    |01011090|              |2015-10-12 10:19:37
10129|REFRIG KUAT  GUARANA 2LT                        |0.00      |5.5000    |01011090|              |2015-10-12 10:19:37
10130|CREME DENT.CLOSE-UP 90G EUCAL                   |1.58      |3.1500    |01011090|              |2015-10-12 10:19:37
10131|ABS SYM C/ABAS CENTER-IN                        |0.33      |1.6500    |01011090|              |2015-10-12 10:19:37
10132|SANDALIA HAV LEG.AZUL N§33/34                   |5.20      |13.0000   |01011090|              |2015-10-12 10:19:37
10133|BLOCO PROMISSORIA TILIBRA                       |0.10      |1.0000    |01011090|              |2015-10-12 10:19:37
10134|VASILHA JAGUAR BACIA 6,7L TRA                   |1.80      |4.5000    |01011090|              |2015-10-12 10:19:37
10135|FARINHA TRIGO MABEL 1KG ESPEC                   |0.89      |2.9500    |110100  |              |2015-10-12 10:19:37
10136|MARGARINA SOYA 250G                             |0.15      |1.5000    |15179090|              |2015-10-12 10:19:37
10137|MARGARINA CREMOSY COM SAL 500G                  |1.68      |4.2000    |15171000|              |2015-10-12 10:19:37
10138|LINHA CLEA 1000M 4146                           |1.10      |5.5000    |01011090|              |2015-10-12 10:19:37
10139|GRAMPO P/CAB.DARMA N§5 CASTAN                   |1.60      |3.2000    |96159000|              |2015-10-12 10:19:37
10140|COND SEDA 350ML KERAFORCE                       |4.70      |9.4000    |01011090|              |2015-10-12 10:19:37
10141|SAL AMONIACO 50G JUNCO                          |0.00      |0.6000    |283699  |              |2015-10-12 10:19:37
10142|SARDINHA COQUEIRO 83G M.TOMAT                   |0.72      |1.8000    |160413  |              |2015-10-12 10:19:37
10143|SEMENTE GIRASSOL PACHA 500G                     |2.86      |7.1500    |12060090|              |2015-10-12 10:19:37
10144|MARGARINA QUALY 500G CREMOSA                    |3.00      |7.5000    |15171000|MANTEIGA LEITE|2015-10-12 10:19:37
10145|FRALDA DESC.KISSES G                            |1.38      |4.6000    |48184010|              |2015-10-12 10:19:37
10146|INSETICIDA PIRISA ESPIRAL                       |0.53      |1.7500    |01011090|              |2015-10-12 10:19:37
10147|CADERNO CREDEAL 15MAT HAPPY                     |0.78      |7.8000    |01011090|              |2015-10-12 10:19:37
10148|ALCOOL PARATI 500ML                             |0.18      |1.8200    |01011090|              |2015-10-12 10:19:37
10149|LINHA CLEA 1000M 3131                           |0.55      |5.5000    |01011090|              |2015-10-12 10:19:37
10150|DESOD ALMA FLORES 90ML SPR.                     |0.87      |2.9000    |330720  |              |2015-10-12 10:19:37
10151|PRESERVATIVO PRUDENCE 3UN LUB                   |0.54      |2.7000    |01011090|              |2015-10-12 10:19:37
10152|APAR BARB.GILLETTE P.SENS.2UN                   |1.80      |3.6000    |821210  |              |2015-10-12 10:19:37
10153|MACARRAO INST.MAGGI 85G CARNE                   |0.55      |1.1000    |01011090|              |2015-10-12 10:19:37
10154|TENYS PE BARUEL 100GR                           |2.64      |6.6000    |330720  |              |2015-10-12 10:19:37
10155|PRENDEDOR P/ROUP.THEOTO 12UN                    |0.15      |0.7500    |01011090|              |2015-10-12 10:19:37
10156|CALDO GALINHA MAGGI 63G                         |0.83      |1.6500    |210410  |              |2015-10-12 10:19:37
10157|SABONETE LUX SUAVE 125G OLEO                    |0.40      |2.0000    |34011190|              |2015-10-12 10:19:37
10158|SABONETE LUX SUAVE 125G EXTR.                   |0.35      |1.7500    |34011190|              |2015-10-12 10:19:37
10159|VASILHA JAGUAR BACIA 1,5L TRA                   |1.08      |2.1500    |01011090|              |2015-10-12 10:19:37
10160|MACARRAO LIANE COMUM 1KG N§1-                   |0.64      |3.1900    |01011090|              |2015-10-12 10:19:37
10161|BALA IMPERIAL 700G MENTOLINA                    |2.39      |11.9500   |17049010|              |2015-10-12 10:19:37
10162|SARDINHA NAVE 130G M.TOMATE                     |0.60      |1.1900    |01011090|              |2015-10-12 10:19:37
10163|BEBIDA CONH.GENGIBRE 900ML                      |0.00      |13.5000   |01011090|              |2015-10-12 10:19:37
10164|TINTURA IMEDIA EXCEL.6.66                       |2.78      |13.9000   |01011090|              |2015-10-12 10:19:37
10165|JOGO POTE QD PEQ SABIA 5PCS                     |0.29      |2.9000    |01011090|              |2015-10-12 10:19:37
10166|CREME DENT.COLG.90G T-A.ME.OR                   |0.00      |2.0500    |01011090|              |2015-10-12 10:19:37
10167|SAPATILHA MOLECA 520059 39                      |2.80      |13.9900   |01011090|              |2015-10-12 10:19:37
10168|SAPATILHA MOLECA PRETO 36                       |0.00      |13.9900   |01011090|              |2015-10-12 10:19:37
10169|SAPATILHA MOLECA PRETO 37                       |4.20      |13.9900   |01011090|              |2015-10-12 10:19:37
10170|CREME TRAT.SEDA 450G KERAFORC                   |1.65      |5.4900    |01011090|              |2015-10-12 10:19:37
10171|SAL REFINADO DUNAS 1KG                          |0.38      |1.2500    |25010020|              |2015-10-12 10:19:37
10172|VASILHA JAGUAR POTE 3X1 MUNIQ                   |0.72      |3.5900    |01011090|              |2015-10-12 10:19:37
10173|LAMPADA PHILIPS 60W CLARA                       |0.00      |1.4400    |01011090|              |2015-10-12 10:19:37
10174|CREME DENT.SORRISO 90G FR.MEN                   |0.28      |1.4200    |01011090|              |2015-10-12 10:19:37
10175|LINHA CLEA 1000M 9490                           |1.65      |5.5000    |01011090|              |2015-10-12 10:19:37
10176|DOCE MARROM GLACE PREDIL.600G                   |4.05      |8.1000    |20079990|              |2015-10-12 10:19:37
10177|SARDINHA PALMEIRA 130G OLEO                     |0.00      |1.5400    |01011090|              |2015-10-12 10:19:37
10178|SHAMPOO FRUCTIS 300ML HYDRA-C                   |2.18      |4.3500    |01011090|              |2015-10-12 10:19:37
10179|CREME TRAT.SEDA 450G CERAMIDA                   |0.55      |5.4900    |01011090|              |2015-10-12 10:19:37
10180|DESINF PINHO MAX 500G GEL                       |0.78      |2.6000    |380991  |              |2015-10-12 10:19:37
10181|COND SEDA 350ML VERAO INTENSO                   |1.88      |9.4000    |01011090|              |2015-10-12 10:19:37
10182|SHAMPOO SEDA 350ML VERAO INTE                   |0.00      |5.4000    |01011090|              |2015-10-12 10:19:37
10183|CREME TRAT.SEDA 450G VERAO IN                   |1.65      |5.4900    |01011090|              |2015-10-12 10:19:37
10184|CALDO CARNE MAGGI 21G                           |0.28      |0.5500    |210410  |              |2015-10-12 10:19:37
10185|SUCO SABORELLE ABACAXI 240G                     |1.00      |2.5000    |21069010|              |2015-10-12 10:19:37
10186|DIVISORIA P/FICH.ACP COLORIDA                   |0.75      |2.5000    |01011090|              |2015-10-12 10:19:37
10187|CADERNO CREDEAL 10MAT HAPPY S                   |0.53      |5.3000    |01011090|              |2015-10-12 10:19:37
10188|SABAO PO REVEL 500G                             |0.33      |1.6500    |01011090|              |2015-10-12 10:19:37
10189|CREME TRAT.SEDA 450G HIDRALOE                   |0.55      |5.4900    |01011090|              |2015-10-12 10:19:37
10190|SABAO PO OMO 1KG M.ACAO                         |0.00      |10.2500   |34022000|              |2015-10-12 10:19:37
10191|GARRAFA TERM.5L INVICTA                         |5.46      |27.3000   |01011090|              |2015-10-12 10:19:37
10192|CREME LEITE NESTLE 200G TP                      |0.59      |1.9700    |01011090|              |2015-10-12 10:19:37
10193|MASSA P/BOLO EMEGE 450G CHOCO                   |0.00      |2.5000    |01011090|              |2015-10-12 10:19:37
10194|CERA LIQ.ARDOSIA 850ML VERDE                    |0.00      |8.3000    |01011090|              |2015-10-12 10:19:37
10195|EMUSTAB SELECTA 200G                            |0.38      |3.8000    |210690  |              |2015-10-12 10:19:37
10196|PAPEL HIG.DELUXE 8UN NEUTRO                     |0.00      |3.4000    |01011090|              |2015-10-12 10:19:37
10197|SABONETE LUX SUAVE 90G EXTR.R                   |0.23      |1.1500    |01011090|              |2015-10-12 10:19:37
10198|AGUA OX.CREM.MULT 30V 90ML                      |0.00      |0.6000    |01011090|              |2015-10-12 10:19:37
10199|GARRAFA TERM.MESA 750 ML MUNDIAL                |2.38      |23.8000   |96170010|              |2015-10-12 10:19:37
10200|TINTURA NUTRISSE 50 AMENDOA                     |6.56      |16.4000   |33059000|              |2015-10-12 10:19:37
10201|TINTURA NUTRISSE 65 CANELA                      |1.07      |10.7100   |01011090|              |2015-10-12 10:19:37
10202|GEL FIX KANECHOMN 230G AZUL                     |0.44      |4.3500    |33059000|              |2015-10-12 10:19:37
10203|DESOD RED APPL.55G CRE.UNISSE                   |0.48      |4.8000    |33072090|              |2015-10-12 10:19:37
10204|SAPATILHA MOLECA 520059 40                      |2.80      |13.9900   |01011090|              |2015-10-12 10:19:37
10205|SAPATILHA MOLECA 520059 35                      |7.00      |13.9900   |01011090|              |2015-10-12 10:19:37
10206|SABONETE LUX SUAVE 125G EXTR.                   |0.70      |1.7500    |34011190|              |2015-10-12 10:19:37
